index,Body,Topic
0," 0.037*""excel"" + 0.037*""sheet"" + 0.026*""bootstrap"" + 0.020*""docker"" + 0.020*""cell"" + 0.019*""export"" + 0.018*""align"" + 0.018*""formula"" + 0.018*""keyboard"" + 0.017*""rotat"" + 0.016*""citi"" + 0.015*""twitter"" + 0.015*""codepen"" + 0.013*""collaps"" + 0.013*""rectangl""",Excel
1," 0.022*""array"" + 0.012*""valu"" + 0.011*""loop"" + 0.011*""function"" + 0.010*""output"" + 0.009*""code"" + 0.009*""print"" + 0.009*""list"" + 0.008*""like"" + 0.008*""element"" + 0.008*""number"" + 0.008*""line"" + 0.007*""plot"" + 0.007*""variabl"" + 0.007*""categori""",Variable Operations
2," 0.020*""item"" + 0.016*""menu"" + 0.016*""view"" + 0.011*""dropdown"" + 0.011*""select"" + 0.010*""bind"" + 0.010*""control"" + 0.009*""list"" + 0.009*""listview"" + 0.009*""button"" + 0.009*""child"" + 0.008*""click"" + 0.008*""compon"" + 0.008*""parent"" + 0.008*""activ""",CSS
3," 0.038*""tabl"" + 0.028*""queri"" + 0.027*""column"" + 0.015*""row"" + 0.014*""data"" + 0.014*""record"" + 0.013*""valu"" + 0.012*""result"" + 0.010*""like"" + 0.010*""databas"" + 0.009*""select"" + 0.009*""group"" + 0.009*""want"" + 0.008*""field"" + 0.008*""filter""",SQL/Database
4," 0.026*""button"" + 0.022*""click"" + 0.018*""form"" + 0.015*""page"" + 0.013*""jqueri"" + 0.012*""html"" + 0.011*""event"" + 0.011*""code"" + 0.010*""javascript"" + 0.009*""select"" + 0.009*""work"" + 0.009*""submit"" + 0.009*""input"" + 0.008*""user"" + 0.008*""text""",GUI
5," 0.019*""string"" + 0.012*""word"" + 0.012*""number"" + 0.011*""regex"" + 0.010*""match"" + 0.009*""line"" + 0.009*""file"" + 0.008*""like"" + 0.008*""replac"" + 0.008*""frame"" + 0.008*""valu"" + 0.008*""output"" + 0.007*""want"" + 0.007*""text"" + 0.007*""byte""",Regular Expressions
6," 0.013*""scroll"" + 0.013*""imag"" + 0.012*""width"" + 0.012*""height"" + 0.012*""anim"" + 0.011*""jsfiddl"" + 0.010*""label"" + 0.009*""chart"" + 0.009*""screen"" + 0.009*""posit"" + 0.009*""text"" + 0.008*""element"" + 0.008*""size"" + 0.008*""leav"" + 0.007*""html""",HTML
7," 0.024*""notif"" + 0.021*""push"" + 0.020*""branch"" + 0.018*""repositori"" + 0.017*""commit"" + 0.016*""quot"" + 0.015*""repo"" + 0.013*""merg"" + 0.012*""countri"" + 0.010*""team"" + 0.010*""kernel"" + 0.010*""master"" + 0.010*""compos"" + 0.009*""disk"" + 0.009*""lock""",Version Control/Git
8," 0.032*""token"" + 0.024*""integ"" + 0.022*""spark"" + 0.017*""promis"" + 0.017*""float"" + 0.016*""claus"" + 0.014*""ubuntu"" + 0.014*""scala"" + 0.013*""term"" + 0.013*""colour"" + 0.012*""laravel"" + 0.012*""rewrit"" + 0.012*""author"" + 0.011*""opencv"" + 0.011*""rule""",Apache Spark
9," 0.027*""product"" + 0.024*""cooki"" + 0.022*""font"" + 0.019*""chrome"" + 0.018*""firefox"" + 0.017*""safari"" + 0.016*""toolbar"" + 0.016*""blue"" + 0.016*""selenium"" + 0.014*""xpath"" + 0.013*""corner"" + 0.013*""delay"" + 0.013*""sentenc"" + 0.013*""algorithm"" + 0.012*""span""",Automated Testing
10," 0.025*""json"" + 0.022*""date"" + 0.017*""data"" + 0.016*""format"" + 0.014*""valu"" + 0.014*""insert"" + 0.012*""databas"" + 0.011*""convert"" + 0.011*""string"" + 0.010*""pars"" + 0.010*""object"" + 0.010*""valid"" + 0.009*""field"" + 0.009*""file"" + 0.009*""code""",Json
11," 0.021*""file"" + 0.014*""instal"" + 0.014*""project"" + 0.013*""error"" + 0.011*""folder"" + 0.009*""command"" + 0.009*""build"" + 0.009*""directori"" + 0.009*""version"" + 0.008*""studio"" + 0.007*""packag"" + 0.007*""path"" + 0.007*""script"" + 0.007*""window"" + 0.007*""server""",Scripting Language
12," 0.017*""login"" + 0.017*""user"" + 0.013*""password"" + 0.010*""server"" + 0.010*""facebook"" + 0.009*""authent"" + 0.009*""session"" + 0.009*""usernam"" + 0.008*""log"" + 0.008*""account"" + 0.007*""access"" + 0.007*""applic"" + 0.007*""sign"" + 0.007*""node"" + 0.007*""googl""",Security/Authentication
13," 0.014*""page"" + 0.013*""request"" + 0.013*""rout"" + 0.012*""control"" + 0.010*""templat"" + 0.010*""post"" + 0.009*""html"" + 0.009*""angular"" + 0.008*""view"" + 0.008*""redirect"" + 0.008*""model"" + 0.008*""user"" + 0.007*""error"" + 0.007*""file"" + 0.007*""work""",Website Development
14," 0.019*""class"" + 0.013*""method"" + 0.012*""object"" + 0.010*""function"" + 0.009*""type"" + 0.007*""error"" + 0.007*""code"" + 0.007*""variabl"" + 0.007*""swift"" + 0.007*""test"" + 0.006*""compil"" + 0.006*""like"" + 0.006*""pass"" + 0.006*""call"" + 0.006*""properti""",OOD/OOP
15," 0.029*""month"" + 0.024*""game"" + 0.024*""alert"" + 0.018*""youtub"" + 0.016*""tableview"" + 0.016*""callback"" + 0.015*""calendar"" + 0.015*""zoom"" + 0.015*""mock"" + 0.015*""typeerror"" + 0.013*""uniti"" + 0.013*""fals"" + 0.013*""week"" + 0.012*""year"" + 0.012*""watch""",Android
16," 0.011*""connect"" + 0.011*""server"" + 0.010*""thread"" + 0.009*""except"" + 0.009*""error"" + 0.008*""servic"" + 0.008*""messag"" + 0.008*""send"" + 0.008*""fragment"" + 0.007*""client"" + 0.007*""java"" + 0.007*""code"" + 0.007*""applic"" + 0.007*""process"" + 0.006*""run""",Client/Server Services
17," 0.022*""camera"" + 0.020*""macro"" + 0.018*""xcode"" + 0.018*""schema"" + 0.015*""migrat"" + 0.014*""member"" + 0.014*""target"" + 0.013*""swipe"" + 0.013*""renam"" + 0.012*""beta"" + 0.011*""preview"" + 0.011*""hook"" + 0.011*""agent"" + 0.011*""grab"" + 0.010*""blob""",xCode/IOS
18," 0.023*""email"" + 0.019*""entiti"" + 0.012*""spring"" + 0.011*""mail"" + 0.010*""cach"" + 0.010*""datat"" + 0.010*""transact"" + 0.009*""interfac"" + 0.008*""send"" + 0.008*""hibern"" + 0.008*""bean"" + 0.008*""address"" + 0.007*""annot"" + 0.007*""charact"" + 0.007*""constraint""",Mail Server
19," 0.031*""imag"" + 0.015*""video"" + 0.011*""color"" + 0.010*""devic"" + 0.010*""upload"" + 0.009*""android"" + 0.009*""icon"" + 0.009*""play"" + 0.008*""background"" + 0.008*""player"" + 0.008*""pictur"" + 0.007*""file"" + 0.007*""phone"" + 0.007*""resiz"" + 0.007*""mobil""",Image/Video
